time,strain,strain_rate,stress
4.1000000000000005,0.02,0.0,3.0173833399376927e-07
4.2,0.02,0.0,2.022612539334208e-07
4.3,0.02,0.0,1.3557977304787697e-07
4.4,0.02,0.0,9.088183971095422e-08
4.5,0.02,0.0,6.091991897885052e-08
4.6000000000000005,0.02,0.0,4.0835842894390406e-08
4.7,0.02,0.0,2.737308408887195e-08
4.800000000000001,0.02,0.0,1.8348726986590033e-08
4.9,0.02,0.0,1.2299519518346424e-08
5.0,0.02,0.0,8.244614489754231e-09
5.1000000000000005,0.02,0.0,5.526530364318144e-09
5.2,0.02,0.0,3.7045440882271017e-09
5.300000000000001,0.02,0.0,2.4832301637614407e-09
5.4,0.02,0.0,1.6645589576896595e-09
5.5,0.02,0.0,1.1157872371475699e-09
5.6000000000000005,0.02,0.0,7.479345521707363e-10
5.7,0.02,0.0,5.013555234427339e-10
5.800000000000001,0.02,0.0,3.3606865755435474e-10
5.9,0.02,0.0,2.2527355800297088e-10
6.0,0.02,0.0,1.510053817711639e-10
6.1000000000000005,0.02,0.0,1.0122193446047566e-10
6.2,0.02,0.0,6.785109176736261e-11
6.300000000000001,0.02,0.0,4.5481946957066793e-11
6.4,0.02,0.0,3.048746077805156e-11
6.5,0.02,0.0,2.04363561122533e-11
6.6000000000000005,0.02,0.0,1.369889916996632e-11
6.7,0.02,0.0,9.182646722249419e-12
6.800000000000001,0.02,0.0,6.155312173587229e-12
6.9,0.02,0.0,4.1260291395627286e-12
7.0,0.02,0.0,2.7657600427760812e-12
7.1000000000000005,0.02,0.0,1.8539443991971907e-12
7.2,0.02,0.0,1.2427360950173782e-12
7.300000000000001,0.02,0.0,8.330309164221978e-13
7.4,0.02,0.0,5.583973222452391e-13
7.5,0.02,0.0,3.74304918753607e-13
7.6000000000000005,0.02,0.0,2.509040903702835e-13
7.7,0.02,0.0,1.6818604140753889e-13
7.800000000000001,0.02,0.0,1.1273847501885317e-13
7.9,0.02,0.0,7.557085976462554e-14
8.0,0.02,0.0,5.06566621963767e-14
8.1,0.02,0.0,3.395617613548711e-14
8.200000000000001,0.02,0.0,2.2761505550333866e-14
8.3,0.02,0.0,1.525749344834028e-14
8.4,0.02,0.0,1.0227403710679935e-14
8.5,0.02,0.0,6.855633726168052e-15
8.6,0.02,0.0,4.5954687149284566e-15
8.700000000000001,0.02,0.0,3.0804348005461656e-15
8.8,0.02,0.0,2.064877197311894e-15
8.9,0.02,0.0,1.3841285779600526e-15
9.0,0.02,0.0,9.278091320974279e-16
9.1,0.02,0.0,6.219290601398352e-16
9.200000000000001,0.02,0.0,4.1689151622383386e-16
9.3,0.02,0.0,2.7945074034702815e-16
9.4,0.02,0.0,1.8732143313411368e-16
9.5,0.02,0.0,1.2556531168192118e-16
9.600000000000001,0.02,0.0,8.416894550710433e-17
